Content,Emotion_predicted
Next pandemic case Neurologic symptoms can be seen in some of COVID2019 patients Most of them are non spe,happiness
RT Chinese medics have just arrived in London to help us fight Covid 19 The media won t tell you for some reason https,happiness
RT If Public Health called tomorrow and told you that you tested positive for COVID 19 amp asked you to list all of the peop,fun
RT Leading COVID 19 expert from South Korea explains why everyone should be wearing a mask,happiness
RT Patrick Jones is the first person in federal prison to die from COVID 19 Jones was convicted in 2017 of possession with,sadness
RT On Saturday an average of one person died from COVID19 every nine minutes in New York City On Sunday alone 98 people died,fun
RT Several places are managing COVID 19 well so far yes including China So it s weird to me that struggling countries It,relief
SKELETONS I triggered some COVID 19 fake news mechanism that suspended both my accounts until,worry
RT Patrick Jones is the first person in federal prison to die from COVID 19 Jones was convicted in 2017 of possession with,sadness
RT Hobbs7 Brides are cancelling their big day People are dying alone Funerals of no more than 10 people Healthcare workers stayi,happiness
RT auctions off Hellboy sketches to aid COVID 19 feeding program,fun
GREAT thanks Nephew with Covid 19 on ventilator last 4 5s taken off today Still very critical but,relief
RT Nancy Pelosi claims Trump didn t act early enough to stop the spread of COVID 19 But when Trump banned Chinese natio,worry
RT The 25 000 square foot facility in Lebanon will help TEMA temporarily store supplies,worry
RT Inside the flying military hospital that s treating COVID 19 patients,happiness
RT At times like this bersyukur sangat dengan all the progress and efforts KKM dalam menangani COVID19 Thank you,relief
RT My sister has Covid 19 She s 7 months pregnant Will you pray for her,worry
RT AndeKarim Its easy to say that COVID 19 is spreading because people wont stay home I think it has more to do with the fact that,happiness
RT This is unconscionable Americans are already afraid of the impact the deadly COVID 19 pandemic is having on their lives th,sadness
Nearly 5 500 cases of COVID 19 in Florida 8 deaths in Palm Beach County,happiness
RT This pandemic will be more consequential than 9 11 It probably already is People just don t realize it because they st,sadness
When the real truth surrounding the origins of the COVID 19 virus finally comes to light and it shows that the pan,relief
RT leon 04 My mom tested positive for COVID 19 yesterday Tonight we had to rush her to the emergency room because she couldn t breath,worry
RT Amazon just fired one of the leaders of today s AmazonStrike on Staten Island SHAME on a heartless firing of a wo,sadness
RT Once again New York dominates the US COVID 19 outbreak contributing 279 deaths to the daily total of 543 I am curious t,sadness
RT If you have an 80 year old patient with terminal cancer heart disease and diabetes hanging onto life by a thread who die,worry
RT If you have an 80 year old patient with terminal cancer heart disease and diabetes hanging onto life by a thread who die,worry
I can t die of COVID 19 because I want to see the new mulan,sadness
RT Candis COVID 19 is very real How it derived is another topic but worth questioning Either way this thing is very real people,sadness
RT My Mom s a nurse and just tested positive for COVID 19 The caregiver is now the patient Stay home for all the brave,relief
RT While we are all paying attention to COVID 19 and the congressional stimulus packages state legislatures are quietly,neutral
RT How did 71 year old Prince Charles amp 55 year old Boris Johnson both recover in days from an illness which took a healthy 37,fun
RT WPS A fantastic resource for feminist perspectives on Covid 19 with links to articles resources and organisations to follow T,fun
RT My daughter s first grade teacher has died from COVID 19,worry
RT When you feel like things are hopeless remember him,worry
Jeff Lowe operated GW Zoo in violation of the Governor s closure orders made in response to covid 19 And yet Joe i,fun
RT BREAKING 304 people have now tested positive for COVID 19 on Rikers Island 167 incarcerated people and 137 correctional,relief
RT A 24 yr old frat bro of mine just passed from COVID 19 Guys this bitch ain t discriminating Do your best to protect you,fun
RT I have recovered from Covid 19 We are humbled by the outpouring of love for me and John and our precious family He is sta,neutral
RT At times like this bersyukur sangat dengan all the progress and efforts KKM dalam menangani COVID19 Thank you,relief
RT Why didn t UK take part in EU procurement No 10 We didn t get the email in time Michael Gove Communication confu,worry
RT As someone who recently spent almost a week hooked up to a ventilator and probably wouldn t be alive today without one I c,neutral
CoronaVirus COVID19 CoronaVirusUpdates Covid 19 N95masks respirators PPE surgicalmask SocialDistancing,happiness
RT Press Conference The Office of the Prime Minister and the Ministry of Health and Wellness will provide an update on C,worry
RT Ultra low oil prices and a health system unable to deal with COVID 19 will be a disaster for Venezuela There will proba,happiness
RT PELOSI SAYS INVESTIGATE TRUMP S COVID 19 RESPONSE TRUMP Donated Salary to COVID 19 Research PELOSI Gives herself a,neutral
RT The world is in an uncertain place because of COVID 19 Anxieties are running high That s why prayer and meditation,sadness
Finally a productive use for ASIO Track and trace COVID 19 cases We ll beat this yet,relief
It s real it s here amp it s deadly No one should forget even for a moment how dangerous COVID 19 is Stay home sa,happiness
RT HI just launched a map of local COVID 19 resources which you can filter by island or category,fun
RT OurRemedyIsARMY Campaign Covid 19 Relief Support is preventing the spread of Covid 19 and suppor,happiness
RT Winter In other FDNY news the department has 266 members who have now tested positive for COVID 19 a senior FDNY of,happiness
RT Wanna know what makes mask manufacturing so special MELT BLOWN FABRIC Unfortunately not something that you find at your loc,worry
RT Confirmed COVID 19 cases per 100 000 inhabitants by Italian,happiness
RT New York City morgues have a capacity of about 900 As of this afternoon COVID19 deaths alone already exceed that number fo,sadness
RT Amazon just fired one of the leaders of today s AmazonStrike on Staten Island SHAME on a heartless firing of a wo,sadness
People can help slow Covid 19 by filling out their US Census forms on line by April 1 This will mean n,worry
Glad is writing a stern letter to COVID 19 and believes it has learned its lesson about inf,neutral
RT Amazon warehouse workers walk out in rising tide of COVID 19 protests,happiness
RT The Charleston Dorchester Mental Health Center is offering mental health counseling services to address challenges of COVID,neutral
WHY isn t NorthAmerica doing this instead of shipping millions of PPE overseas Canada USA coronavirus,worry
RT Herridge Covid 19 WH briefing POTUS says historic milestone reached over 1 million Americans tested This is a very vital 30 da,happiness
RT sharp How Covid 19 immunity testing can help people get back to work,worry
RT My daughter s first grade teacher has died from COVID 19,worry
RT 362 samples have been tested for Covid 19 to date Of that number 36 tested positive 9 results are pending and the re,happiness
RT New episode I am joined by for Coronavirus conspiracy theories Sh,worry
RT After recovering from COVID 19 Sean Payton hopes his plasma can help others,worry
RT With corpses on sidewalks and hospitals and morgues overwhelmed with COVID 19 Ecuador just paid 325 million to internation,fun
RT England If you want to understand the science behind COVID 19 and the reasons for actions like social distancing then leading UK s,neutral
RT Poland new cases March 28 249 March 29 224 March 30 193 COVID19 Covid 19 Coronavirustruth,happiness
RT Kenno x I m a front line HCW 6 out of my last 7 shifts have had to be covered by agency or overtime because I m waiting for covid 1,worry
RT smith 1st patient Patient 5 to fully recover from Covid 19 has been recorded in Jamaica,worry
RT leon 04 My mom tested positive for COVID 19 yesterday Tonight we had to rush her to the emergency room because she couldn t breath,worry
RT revealing Abbott Labs new 5 minute COVID 19 test,happiness
RT LOOK Iloilo based designer and nurse Adrian Pe creates protective suits for COVID 19 frontliners It s the least I ca,happiness
RT My Mom s a nurse and just tested positive for COVID 19 The caregiver is now the patient Stay home for all the brave,relief
RT Throughout history authoritarian leaders have used moments of crisis to seize unchecked power Hungary s Orban is the late,worry
RT Good move by govt this is exactly what Abhijit Banerjee recommended in our interview on,worry
RT This is unconscionable Americans are already afraid of the impact the deadly COVID 19 pandemic is having on their lives th,sadness
RT a owen So today I did a tele interview about how the covid 19 pandemic affects LGBTQ students Here was my advice on how v,worry
Support Edward by signing Why You Must Act Now and I ll deliver a copy to your officials too,worry
RT If you have an 80 year old patient with terminal cancer heart disease and diabetes hanging onto life by a thread who die,worry
RT If you think you have Covid 19 DO NOT TAKE IBUPROFEN there is a correlation between the pill the disease and those who are,happiness
RT GetWitJabiel Lord please let this COVID 19 end soon,worry
RT In his last full show fifteen days ago Limbaugh likened COVID 19 to the common cold He just now said it was pneumo,happiness
Equities are a strong buy because odds of being where we are next 3 6 and 9 months in t,fun
RT Why didn t UK take part in EU procurement No 10 We didn t get the email in time Michael Gove Communication confu,worry
RT Attn doctors nurses amp others involved in public health Pls sign this PETITION from to protect healthcare,fun
RT My Mom s a nurse and just tested positive for COVID 19 The caregiver is now the patient Stay home for all the brave,relief
RT Once again New York dominates the US COVID 19 outbreak contributing 279 deaths to the daily total of 543 I am curious t,sadness
RT As communities around the world respond to COVID19 psychologists across the field are providing critical guidance and support T,worry
RT sambo1 I m a graduate of Microbiology from and I ve been monitoring the efficacy of this hydroxychloroquine on COVID 1,worry
RT My daughter s first grade teacher has died from COVID 19,worry
RT This weekend the administration secured 31 million tablets of hydroxychloroquine and chloroquine wh,neutral
RT ACTORS amp WRITERS couple up for FOOD BANKS wrote this one for me Your turn Ask folks to Donate to FO,worry
RT UPDATE a statement on COVID19 from Campus Public Health Officer Jakub Tolar MD PhD,happiness
RT Neo Confederate Group Moves Ahead with Conference Amid Covid 19 Outbreak Southern Poverty Law Center,happiness
RT faysm The Indonesian President became a joke of his people because he was wrong in making policies related to the spread of Covi,worry
RT If your job is Shut Down due to COVID 19 and you need assistance with groceries please comment below and a Team Member m,worry
RT My Mom s a nurse and just tested positive for COVID 19 The caregiver is now the patient Stay home for all the brave,relief
While the nation focuses understandably on our hospitals ability to care for the coming surge of severely i,worry
RT PELOSI SAYS INVESTIGATE TRUMP S COVID 19 RESPONSE TRUMP Donated Salary to COVID 19 Research PELOSI Gives herself a,neutral
RT Yesterday s tracker here Excellent for looking at trends amp absolute numbers in recorded covid 19 c,fun
If every country had immediately deployed the current preventative measures for COVID 19 we would all think we d o,fun
Membership and Covid 19 info on Facebook and Instagram now or email info com or text 306 533 2633 f,fun
RT If your job is Shut Down due to COVID 19 and you need assistance with groceries please comment below and a Team Member m,worry
RT AndeKarim Its easy to say that COVID 19 is spreading because people wont stay home I think it has more to do with the fact that,happiness
In light of the T20 fiasco in Malaysia where celebrities and entrepreneurs are complaining of the funds being give,fun
RT leon 04 My mom tested positive for COVID 19 yesterday Tonight we had to rush her to the emergency room because she couldn t breath,worry
RT Let s keep looking in the mirror of COVID 19 to prepare us and help us prepare others for even more tribulation,fun
RT Do Lawmakers Want Another COVID 19 Bill We keep hearing that another massive bill is coming from Pelosi and the Demo,happiness
Support Aurora by signing Why You Must Act Now and I ll deliver a copy to your officials too,worry
RT sara jade Always wash thoroughly fruits and veggies Two Coles staff in Melbourne s south east test positive to COVID 19,happiness
RT Judges in Louisville aren t messing around with infected patients who head out of the house,neutral
RT The Ol 9 11 and COVID 19 Coffee Mug Is The Can t Miss Gift For Your Graduating Senior https,sadness
RT CNN Dr James T Goodrich the neurosurgeon who allowed CNN inside a remarkable operation to separate twins Jadon and Ania,neutral
RT I have recovered from Covid 19 We are humbled by the outpouring of love for me and John and our precious family He is sta,neutral
RT Former DB left the NFL in 2013 to attend medical school Now Rolle is a neurosurgery resident who is seeing the imp,sadness
RT Duterte Mar 16 We have the money may pera tayo Congress granted Duterte emergency powers backed with a 275 billion,relief
RT My Mom s a nurse and just tested positive for COVID 19 The caregiver is now the patient Stay home for all the brave,relief
RT My Mom s a nurse and just tested positive for COVID 19 The caregiver is now the patient Stay home for all the brave,relief
This is as Stupid as having My Pillow Guy at press conference today The Impeachment was over Feb 6th Trump was st,worry
POP 54 4th ANNIVERSARY amp THE COVID 19 AGE We look back and we look at our Pop culture in our Coronavirus COVID 1,fun
RT My Mom s a nurse and just tested positive for COVID 19 The caregiver is now the patient Stay home for all the brave,relief
RT NSW Covid 19 epidemic 30 Mar 2020 Exponential rate continues to reduce but reduction isslowing Doubling period now 3 6 2,happiness
RT Having your needs met is something we all deserve and need What COVID 19 is exposing is that we are not individuals,sadness
RT Doctors are risking their own health and sacrificing time with loved ones to keep us safe The least we can do for the,fun
RT This is unconscionable Americans are already afraid of the impact the deadly COVID 19 pandemic is having on their lives th,sadness
RT Assange is at dire risk in UK prison Even before Covid 19 nearly 200 called for his release due to heal,worry
RT Germany is testing 500 000 people per week for Covid 19 The UK has only just reached 10 000 tests per day Ramping up,happiness
RT I have an emergency prayer request Jim is in an induced coma in NYC because of COVID 19 Heavenly Father We lift up Jim t,happiness
RT is good COVID 19 and pollen trying to decide who will kill me first,worry
RT did y all forget it s allergy season and i m allowed to sneeze without having COVID 19,happiness
RT hi all if you got any april fools goofs involving covid 19 it s an instant block from me thanks,fun
RT It s sad that the would bend the facts about COVID 19 and to fit a pre determined narrative Here s,sadness
RT DI Council grants waiver to allow additional eligibility for spring sport athletes whose seasons were impacted by COVID 19 https,happiness
Also there is flu vaccine every year that only 46 of Americans get and that contributes to the death toll Y,worry
In AtW at least six states have exempted some level of religious activity from orders issued to curb large gatheri,worry
RT Emerging story as reported by tonight that Welsh Govt deal to ramp up COVID 19 testing here fell apa,sadness
RT COVID 19 Germany to evacuate citizens from Nigeria,happiness
RT My Mom s a nurse and just tested positive for COVID 19 The caregiver is now the patient Stay home for all the brave,relief
RT Alberta Here is a summary thread of today s COVID19AB public health date In the last 24 hours we confirmed 29 new cases of CO,sadness
RT This is what happens if there is no 2020 NFL season,sadness
RT More info this hashtag going around pushing a conspiracy theory about coronavirus amp hospitals originated from a QAnon account,worry
RT Raise your hand if there is someone in your immediate circle of friends and family who would be extremely vulnerable if,worry
RT If you think you have Covid 19 DO NOT TAKE IBUPROFEN there is a correlation between the pill the disease and those who are,happiness
RT Governor Brad Little and Secretary of State Lawerence Denney announced today there will be no change in Idaho s primary e,worry
RT Dr James T Goodrich a neurosurgeon who led multiple separations of conjoined twins died Monday after complications related,relief
RT Doctors who worked through the HIV AIDS crisis and 9 11 say the surge of COVID19 patients and deaths is worse than anything t,neutral
RT Here is scamvangelist Kenneth Copeland DESTROYING the virus through what I can only describe as a Christian magic spell,neutral
RT Mackler TN challenges bigger than fundraising 1 COVID 19 2 rural hospital closures 3 opioids 4 a trade wa,happiness
RT Please if you reside in Anambra I beg you in the name of whatever u worship STAY AT HOME If you mistakenly test posi,fun
RT Wuhan study Between 3 and 10 of recovered COVID 19 patients tested positive again,happiness
RT My Mom s a nurse and just tested positive for COVID 19 The caregiver is now the patient Stay home for all the brave,relief
Covid is like a real life game of Minesweeper None of us know what the heck we are doing And each bomb we open is,fun
It s a thought but unless it has a filter where it pulls air in it wont be effective The covid 19 spread,happiness
RT For the latest evidence based insights and expert guidance on the novel coronavirus COVID19 bookmark these three,worry
Watch Covid 19 Protecting Your Family Dr Dave Price 3 22 2020 on Vimeo,fun
RT When the fight is over and the virus has won these are the people who risk their lives to attend to the dead making,worry
We ve got some covid truthers popping up in our comments lately We re not going through this fucking nightmare for,relief
RT VERY EXCITING NEWS Paige amp I have connected with the Mayor of Dallas amp made a GoFundMe account to,worry
RT Bot BREAKING Peter Griffin tests negative for COVID 19,neutral
RT Remember the really SCARY numbers on COVID 19 all come from models Haven t we learned our lesson on models with climate,fun
RT My Mom s a nurse and just tested positive for COVID 19 The caregiver is now the patient Stay home for all the brave,relief
RT Former DB left the NFL in 2013 to attend medical school Now Rolle is a neurosurgery resident who is seeing the imp,sadness
Hey I know you re all sick of sad COVID 19 news but this week a resident at the nursing home had to celebrate his,sadness
RT 45 has absolutely been proactive since day one of the Covid 19 epidemic He saved thousands possibly m s b,worry
Pet families who need extra help during the COVID 19 pandemic can turn to us Through the PAWS San Diego pantry pro,happiness
RT With school closings due to COVID 19 and are concerned that children will potentially have an increased onl,worry
RT Our COVID 19 interventions across all our products will be available from 1 April 30 June via our new COVID 19 applet on the F,happiness
RT Dozens of nurses and doctors come to NYC to work at a field hospital set up in Central Park for patients battling COVID 19,happiness
RT On my way to NIH to donate blood plasma for antibodies to COVID 19 Finally feeling much better and happy to be contributi,relief
RT College student 25 dies after hospitals refuse to give him COVID 19 test,happiness
RT Neo Confederate Group Moves Ahead with Conference Amid Covid 19 Outbreak Southern Poverty Law Center,happiness
RT The nation s first known case of community acquired COVID19 was treated successfully at Now our expert,fun
RT revealing Abbott Labs new 5 minute COVID 19 test,happiness
RT Twitter is now removing tweets from world leaders that challenge the coronavirus shutdown Bolsonaro becomes the first,fun
RT Kailabags Just want to share I reached out to VP to donate all my un used Taffeta amp Water,worry
RT WSJ article on the use of HCQ AZ for COVID19 by I can t ignore the available evidence This HCQ AZ a,worry
RT Join us online Thursday April 2 at 10 am on Financing the Global Response to the COVID19 Pandemic w,worry
RT At times like this bersyukur sangat dengan all the progress and efforts KKM dalam menangani COVID19 Thank you,relief
RT AndeKarim Its easy to say that COVID 19 is spreading because people wont stay home I think it has more to do with the fact that,happiness
RT Bobby Hebert Sr father of former Saint and Falcon Bobby Hebert Jr dies from COVID 19,fun
RT AndeKarim Its easy to say that COVID 19 is spreading because people wont stay home I think it has more to do with the fact that,happiness
RT leon 04 My mom tested positive for COVID 19 yesterday Tonight we had to rush her to the emergency room because she couldn t breath,worry
RT Desperate time of crisis Socialist or Communist Sanders is pulling something right out of Marx Communists Manifesto Workers,worry
RT If you believe the world will overcome covid 19 retweet,fun
RT PM Tan Sri Muhyiddin Yassin visited the Malaysia Agro Exposition Park Serdang MAEPS which will serve as a Covid19 faci,neutral
RT leon 04 My mom tested positive for COVID 19 yesterday Tonight we had to rush her to the emergency room because she couldn t breath,worry
RT My Mom s a nurse and just tested positive for COVID 19 The caregiver is now the patient Stay home for all the brave,relief
RT John Prine still hospitalized with COVID 19 but is now stable his wife says,happiness
RT DI Council grants waiver to allow additional eligibility for spring sport athletes whose seasons were impacted by COVID 19 https,happiness
RT Fauci amp Birx are on record today saying COVID 19 in NYC is a sign of things to come for entirety of USA Let s keep tr,fun
RT My Mom s a nurse and just tested positive for COVID 19 The caregiver is now the patient Stay home for all the brave,relief
RT This is unconscionable Americans are already afraid of the impact the deadly COVID 19 pandemic is having on their lives th,sadness
RT A 24 yr old frat bro of mine just passed from COVID 19 Guys this bitch ain t discriminating Do your best to protect you,fun
RT Eritrea Public Announcement from Ministry of Health Three passengers that came to Eritrea prior to ban on Flights tested,worry
Be fair just amp equitable Give renters the same relief you gave homeowners CancelRent,relief
RT coronavirus News Alert Dr Vladimir Zelenko a board certified family practitioner in NY has now treated 699 Covid 19,neutral
RT New York City morgues have a capacity of about 900 As of this afternoon COVID19 deaths alone already exceed that number fo,sadness
Sadly there were false rumors circulating early on social media that AA were less susceptibl,worry
RT I spent last night talking to a woman desperately trying to get help as her family deals with what she believes is COVI,worry
1 Watched the whole thing he didn t call C,worry
RT On NationalDoctorsDay I commend the extraordinary physicians who protect amp heal daily We are especially grateful for,fun
RT Hobbs7 Brides are cancelling their big day People are dying alone Funerals of no more than 10 people Healthcare workers stayi,happiness
RT Life finds ways of throwing LEMON at me I ve struggled w coming forward but I want to inspire hope I returned to N,worry
RT I know these are confusing and scary times so for the first episode of our new podcast I sat down with Ron Klain former Whi,worry
RT If you think you have Covid 19 DO NOT TAKE IBUPROFEN there is a correlation between the pill the disease and those who are,happiness
RT AndeKarim Its easy to say that COVID 19 is spreading because people wont stay home I think it has more to do with the fact that,happiness
RT NIne more new cases boost the number of local coronavirus cases to 31 Of that total 17 are male 54 8 percent and 14 are,neutral
RT Bravery courage and sacrifice Photo shows health care workers on plane to New York to join coronavirus battle,fun
RT My Mom s a nurse and just tested positive for COVID 19 The caregiver is now the patient Stay home for all the brave,relief
New whitepaper Taking Stock Of COVID 19 from looks at the impact of COVID19 on technology and end,fun
Join us live this Thurs April 2 11 00 a m PT will hold Office Hours to answer your Qs If you are,worry
RT I just received my COVID 19 confirmation test result It is POSITIVE I am asymptomatic and will continue to self isolate,worry
RT A worthwhile read from for today NationalDoctorsDay2020 with NationalDoctorsDay taking place against the,fun
RT COVID 19 Lexington Responds Dr Julie Hackett March 30th 2020 YouTube,fun
RT WSJ article on the use of HCQ AZ for COVID19 by I can t ignore the available evidence This HCQ AZ a,worry
RT SomeGoodNews My dad s wife s brother step uncle who lives in France was given chloroquine is out of the hospital and,worry
RT Former DB left the NFL in 2013 to attend medical school Now Rolle is a neurosurgery resident who is seeing the imp,sadness
In Chicago an evangelical church of 80 met March 15 43 have come down with flu or coronavirus symptoms with 10 t,fun
RT info COVID19 just a Month ago TRUMP boastingly said USA is well protected from COVID look at them NOW they are the H,worry
RT I spent last night talking to a woman desperately trying to get help as her family deals with what she believes is COVI,worry
RT This article by misleadingly states that there are 8 strains of coronavirus circulating Because of this our,worry
RT AndeKarim Its easy to say that COVID 19 is spreading because people wont stay home I think it has more to do with the fact that,happiness
Making sure your system is properly disinfected is an important measure to help stop the spread of COVID19 Downlo,worry
RT sea A former addict and crappy pillow maker to the Covid 19 rescue,happiness
RT On Saturday an average of one person died from COVID19 every nine minutes in New York City On Sunday alone 98 people died,fun
RT Where have the cabinet bios for amp gone Meanwhile War Roo,neutral
RT This is unconscionable Americans are already afraid of the impact the deadly COVID 19 pandemic is having on their lives th,sadness
In Washington State a community choir of 60 met at a church on March 2 while avoiding touching Two are now dead,fun
RT I need to clarify what I mean by John is stable That is not the same as improving There is no cure for Covid 19 He nee,happiness
RT On Doctor s Day we re thankful to all of our doctors Honor your doctor today by donating funds supporting COVID 19 related,worry
NAFDAC orders production of Chloroquine for clinical trial treatment of Covid 19,happiness
RT We will deliver right to the border B C town vows to look after U S neighbours in pandemic We are 1 community,fun
RT news on 8 Korean dramas to binge watch during COVID19 isolation 1 Itaewon Class Not only does it feature Kwon,worry
RT A massive construction effort is under way in Golokhvastovo 50km southwest of Moscow to build a hospital for the treatment of,happiness
With 168 cases of COVID19 confirmed by Metro Health in Bexar County today officials are making plans to procure a,neutral
RT Today I am PROUD to inform you that I MURDERED COVID 19 amp have tested NEGATIVE TWICE I HAVE BEEN DISCHARGED I,fun
RT A 24 yr old frat bro of mine just passed from COVID 19 Guys this bitch ain t discriminating Do your best to protect you,fun
RT Japan s Covid 19 Reports 140KBs of Unadulterated Incompetence,happiness
RT I still see no evidence COVID 19 is remotely as dangerous as the seasonal flu In 2017 18 seasonal flu infected 41 millio,worry
Notable maps visualizing COVID 19 and surrounding impacts by,happiness
RT 911 CALLS If you think you have COVID 19 symptoms fever cough shortness of breath call 528 SICK 7425 instead of ca,happiness
He lost me when he started citing and using China COVID 19 numbers,worry
Support S by signing Why You Must Act Now and I ll deliver a copy to your officials too,worry
RT My sister has Covid 19 She s 7 months pregnant Will you pray for her,worry
Good Evening Community APN is excited to share with you a Resource Compilation List of helpful and informative COV,relief
RT At times like this bersyukur sangat dengan all the progress and efforts KKM dalam menangani COVID19 Thank you,relief
RT AndeKarim Its easy to say that COVID 19 is spreading because people wont stay home I think it has more to do with the fact that,happiness
RT Sarasota County reports cases of COVID 19 at senior care facilities reports,happiness
RT Neo Confederate Group Moves Ahead with Conference Amid Covid 19 Outbreak Southern Poverty Law Center,happiness
RT Combating the coronavirus pandemic develops rapid test for COVID19 Reliable test results enable different,worry
RT We have lost one of our NY based trans community leaders to COVID 19 Rest in power Lorena Borjas,fun
RT leon 04 My mom tested positive for COVID 19 yesterday Tonight we had to rush her to the emergency room because she couldn t breath,worry
RT THREAD Expanding Wisconsin s testing capacity is a critical step in ensuring the health and safety of Wisconsinites That s,sadness
Support Joan by signing Why You Must Act Now and I ll deliver a copy to your officials too,worry
RT covid s 19 and now i am too more life to me,sadness
RT No no no Covid 19 does NOT have the same symptoms as radiation sickness This is not caused by 5g Do you see hair fallin,worry
Callahan Health Too many ppl wasting resources by getting tested when they weren t warr,worry
115 nursing home residents staff test positive for COVID 19 in Sumner County Tennessee,happiness
RT leon 04 My mom tested positive for COVID 19 yesterday Tonight we had to rush her to the emergency room because she couldn t breath,worry
RT My Mom s a nurse and just tested positive for COVID 19 The caregiver is now the patient Stay home for all the brave,relief
RT I know these are confusing and scary times so for the first episode of our new podcast I sat down with Ron Klain former Whi,worry
Op Ed COVID 19 a Wake Up Call to Strengthen American Pharmaceutical Manufacturing,happiness
RT BREAKING 304 people have now tested positive for COVID 19 on Rikers Island 167 incarcerated people and 137 correctional,relief
RT Raise your hand if there is someone in your immediate circle of friends and family who would be extremely vulnerable if,worry
Fuck covid 19 Fuck the stimulus Fuck all of this shit,sadness
RT Military Ready To Enforce COVID 19 Lockdown In Lagos Abuja Ogun DHQ,happiness
RT leon 04 My mom tested positive for COVID 19 yesterday Tonight we had to rush her to the emergency room because she couldn t breath,worry
RT md Critical Care Ontario Mar 29 2012 crit care beds w 1512 crit care pts 75 1 capacity 99 confirmed COVID19 6 5 349 s,happiness
Not sure what s going to kill us first COVID 19 or boredom depression lack of release I miss everything,worry
RT Please if you reside in Anambra I beg you in the name of whatever u worship STAY AT HOME If you mistakenly test posi,fun
Games Industry Unites to Promote World Health Organization Messages Against COVID 19 Launch PlayApartTogether Cam,fun
Do you wear masks taking care of Covid 19 patients If not shut up,happiness
RT A sad scene at Brooklyn Hospital Covid 19 coronavirus,sadness
RT Ooppps my sale just ended on my onlyfans page but don t worry you can still subscribe for only 8 a month to see m,worry
Inside a Brooklyn hospital that is overwhelmed with Covid 19 patients and deaths CNN via,happiness
RT On Saturday an average of one person died from COVID19 every nine minutes in New York City On Sunday alone 98 people died,fun
RT Or Do Notty A hospital in Buffalo New York fired one of their top executives after saying on her Facebook page that supporters of,relief
RT If your job is Shut Down due to COVID 19 and you need assistance with groceries please comment below and a Team Member m,worry
RT Heartbroken to share that LorenaBorjas a prolific trans organizer amp Queens activist passed away from COVID 19 Lorena champion,worry
RT Hobbs7 Brides are cancelling their big day People are dying alone Funerals of no more than 10 people Healthcare workers stayi,happiness
RT WATCH Hillbrow resident Tau Kgaphola was shot with rubber bullets by police while walking alone to go the bank as he ne,worry
RT This is unconscionable Americans are already afraid of the impact the deadly COVID 19 pandemic is having on their lives th,sadness
RT If you think you have Covid 19 DO NOT TAKE IBUPROFEN there is a correlation between the pill the disease and those who are,happiness
RT COVID 19 in the middle of allergy season will have you questioning everything,fun
RT My Mom s a nurse and just tested positive for COVID 19 The caregiver is now the patient Stay home for all the brave,relief
RT The full briefing on COVID19 by,neutral
Lighting Up Sioux Falls Step outside between 9 9 15pm tonight to join your neighbors and your city as we light u,fun
RT Ky Mayor Lynch s COVID 19 Update 3 30 20,happiness
RT COVID 19 Andhra Pradesh govt uses unique tools to keep track of people in home quarantine,happiness
RT Look at this Even the prisoners are trying to contribute to fight COVID 19 yet some dickheads out there are trying to force,worry
RT We have lost one of our NY based trans community leaders to COVID 19 Rest in power Lorena Borjas,fun
RT People should not believe the scare tactics I work in healthcare in Houston Texas reviewing patient clin,neutral
RT did y all forget it s allergy season and i m allowed to sneeze without having COVID 19,happiness
Rep Velazquez has presumed COVID 19 infection was near Pelosi other lawmakers last week,worry
RT kr COVID 19 CRPF to set up nationwide 24x7 helplines QRTs for families of troops,happiness
RT Today marks two weeks at for me It will probably be another few days before I m released but given how close I,neutral
RT Chinese medics have just arrived in London to help us fight Covid 19 The media won t tell you for some reason https,happiness
NCAA to extend eligibility for seniors affected by COVID 19 via,happiness
RT The growing scourge of Corona racism brilliant piece by Ian Buruma,worry
RT Support Lauren by signing Why You Must Act Now and I ll deliver a copy to your officials too,worry
RT BIG NEWS The D1 Council just granted another year of eligibility to spring sport student athletes whose seaso,relief
RT Or Do Notty A hospital in Buffalo New York fired one of their top executives after saying on her Facebook page that supporters of,relief
RT Chinese medics have just arrived in London to help us fight Covid 19 The media won t tell you for some reason https,happiness
RT Learned yesterday that my uncle has been hospitalized and tested positive for COVID 19 He has a young son please kee,worry
RT NEW The World Health Organization is standing by its assessment that COVID 19 is not an airborne disease sending out f,sadness
RT 362 samples have been tested for Covid 19 to date Of that number 36 tested positive 9 results are pending and the re,happiness
RT The Florida Highway Patrol is assisting with the implementation and enforcement of checkpoints for motorists entering Florida o,fun
RT As a college student I have been laid off my part time job denied unemployment left out of the COVID 19 relief pac,relief
RT Me sending my dog out for supplies since he can t contract COVID 19,worry
Support Dawn by signing Why You Must Act Now and I ll deliver a copy to your officials too,worry
RT covid 19 please stop your world tour,happiness
Support Lucila by signing Why You Must Act Now and I ll deliver a copy to your officials too,worry
RT If Public Health called tomorrow and told you that you tested positive for COVID 19 amp asked you to list all of the peop,fun
Support Araceli by signing Why You Must Act Now and I ll deliver a copy to your officials too,worry
RT How many USA soccer clubs will collapse as a result of Covid 19 CoronaVirus in the landscape of the discriminatory suffocati,fun
RT AndeKarim Its easy to say that COVID 19 is spreading because people wont stay home I think it has more to do with the fact that,happiness
